RELATION	LEFTTERM	RIGHTTERM	COUNT
ancestor	computational_intelligence	artificial_neural_networks	1
sibling	MVC	MVVM	1
sibling	thermal_imaging	night_vision	1
sibling	resource_management	path_planning	1
sibling	homeland_security	department_of_defense	1
sibling	VMware	citrix_xenserver	1
sibling	SOAP	MSMQ	1
sibling	DOI	USGS	1
sibling	tuition_fees	financial_aid	1
ancestor	12,000_attendees	IT	1
ancestor	technical_standards	coding_standards	1
sibling	burst_mode	auto_exposure	1
ancestor	defense_applications	unmanned_aircraft_systems	1
ancestor	government_entities	british_aerospace	1
ancestor	IR	visibility_measurements	1
ancestor	survey_techniques	laser_scanning	1
ancestor	instant_messaging	text_messaging	1
ancestor	management_decisions	variable_rate	1
sibling	TCP	SSL	1
ancestor	pakistani_extremists	baitullah_mehsud	1
ancestor	ground_bees	bumble_bees	1
sibling	continuous_variables	chi_square	1
ancestor	affiliate_programs	amazon_associates	1
ancestor	poor_weather_conditions	high_winds	1
ancestor	radio_controlled_helicopters	unmanned_aerial_vehicles	1
sibling	application_programming_interfaces	software_developer	1
ancestor	vertical_infrastructure	offshore_oil_rigs	1
ancestor	mission_sets	ISR	1
sibling	fully_secured	high_speed	1
sibling	content_creation	email_marketing	1
ancestor	crime_scenes	barricade_situations	1
sibling	APP	RF	1
sibling	fault_tolerant	load_balanced	1
sibling	agricultural_surveys	forest_management	1
ancestor	electric_motor	auxiliary_systems	1
ancestor	road_vehicles	passenger_cars	1
sibling	aviation_safety	NAS	1
ancestor	simulated_scenarios	disaster_relief	1
ancestor	animal_groups	bird_flocks	1
ancestor	web_sites	amnesty_international	1
sibling	LOS	PID	1
sibling	UPS	DHL	1
ancestor	gps_based	altitude_hold	1
sibling	machine_learning	neural_networks	1
sibling	aerial_photography	drone_journalism	1
sibling	month_end	quarter_end	1
sibling	application_specific	standard_cots	1
sibling	strong_winds	UAV	1
sibling	electronic_warfare	early_warning	1
sibling	ASAP	LOSA	1
sibling	user_sessions	strong_password	1
ancestor	ready_to_fly	parrot_bebop	1
ancestor	unmanned_aerial_vehicles	fixed_wing	1
ancestor	$250	flight_planning	1
ancestor	data_structure	JSON	1
ancestor	high_cost	fixed_wing	1
ancestor	common_interfaces	USB	1
ancestor	commercial_drone_operations	delivery_services	1
sibling	land_surveying	police_surveillance	1
sibling	amphibious_assault	dock_landing	1
sibling	PCI	ISO	1
sibling	vr_headsets	AR	1
ancestor	IDE	WPF	1
sibling	collision_warning	autonomous_emergency_braking	1
sibling	XT60	charger_cables	1
ancestor	resource_intensive	financial_modeling	1
ancestor	major_credit_cards	GSA	1
sibling	IMU	IP43	1
ancestor	energy_sources	internal_combustion_engines	1
ancestor	module_format	AMD	1
ancestor	karma_drone_bundle	HERO4	1
ancestor	NASA	partner_organizations	1
ancestor	business_purposes	construction_site_monitoring	1
ancestor	FPGAs	heterogeneous_platforms	1
sibling	quality_attributes	quality_attribute	1
ancestor	WIFI	windows_tablet	1
sibling	precision_agriculture	water_management	1
sibling	hand_gesture_recognition	APAS	1
sibling	content_syndication	extended_presence	1
sibling	X4S	X5S	1
sibling	web_based	service_oriented_architectures	1
sibling	number_plate_recognition	object_counting	1
ancestor	areas_of_interest	electrostatic_discharge	1
sibling	IPTV	triple_play	1
sibling	W3C	IETF	1
sibling	MALE	HALE	1
ancestor	mission_payloads	EW	1
ancestor	FBI	US	1
ancestor	al_qa’ida	terrorist_groups	1
ancestor	neural_networks	AI	1
ancestor	crime_scenes	hazardous_materials	1
ancestor	northern_california	spatial_distribution	1
sibling	UAS	sensor_technology	1
ancestor	FAA	federal_agencies	1
sibling	control_signal	low_battery	1
sibling	yuneec_typhoon	xiro_xplorer	1
sibling	data_collection	systems_engineering	1
sibling	CAE	ruag_aerospace	1
ancestor	anti_tank	shoulder_fired	1
sibling	magnetic_particle	eddy_current	1
sibling	ground_tilt	GPS	1
sibling	command_line_tools	IDE	1
sibling	radio_frequency	gps_jamming	1
sibling	flight_training	simulator_training	1
sibling	LDAP	XML	1
sibling	air_defense	electronic_warfare	1
sibling	progress_reports	raw_data	1
ancestor	ground_segment_solutions	ground_control_stations	1
ancestor	disruptive_technologies	machine_learning	1
sibling	IMO	UN	1
ancestor	radio_systems	cellular_phones	1
ancestor	tv_camera	high_tech	1
ancestor	disparate_applications	web_based	1
sibling	XML	ODBC	1
sibling	model_based	object_oriented_design	1
ancestor	action_sports	BMX	1
ancestor	complex_structures	launch_facilities	1
sibling	emergency_services	public_safety	1
ancestor	developer_technologies	mobile_sdk	1
sibling	electronic_warfare	ISR	1
ancestor	weather_conditions	high_winds	1
ancestor	energy_sources	fuel_cells	1
sibling	amazon_prime_air	DJI	1
sibling	low_level	mid_level	1
sibling	target_illumination	communications_relay	1
ancestor	security_measures	remote_identification	1
sibling	AJAX	FLEX	1
sibling	transferring_data	issuing_commands	1
sibling	reduced_visibility	high_winds	1
ancestor	autonomous_weapons_systems	unmanned_aerial	1
sibling	piston_engines	turbine_engines	1
ancestor	islamist_militias	al_qaeda	1
ancestor	file_types	XHTML	1
sibling	traffic_monitoring	police_investigations	1
sibling	remote_areas	search_and_rescue	1
sibling	battery_charging_stations	emergency_landing	1
ancestor	user_processes	kernel_subsystems	1
ancestor	mobile_force_protection	counter_unmanned_air_systems	1
sibling	ICE	border_patrol	1
sibling	counter_uas_technology	autonomous_vehicles	1
sibling	usb_serial	usb_mass_storage	1
sibling	tv_camera	infrared_camera	1
ancestor	unmanned_aircraft	UCAVs	1
sibling	northrop_grumman	lockheed_martin	1
sibling	search_and_rescue	homeland_security	1
ancestor	operational_restrictions	air_space	1
sibling	CORBA	J2EE	1
ancestor	supreme_court	federal_facilities	1
sibling	foldable_wing	multi_rotor	1
sibling	sql_injection	XSS	1
sibling	RF	gps_jamming	1
sibling	drone_operations	traffic_management	1
sibling	business_development	project_management	1
sibling	Cámara	david_garlan	1
sibling	search_and_rescue	animal_surveys	1
sibling	set_position_target_global_int	set_position_target_local_ned_mavlink	1
